2022-05-04 02:22:24 INFO  WebController:16 - gggglogger logging
2022-05-04 03:44:51 INFO  WebController:19 - GB requests to create q1
2022-05-04 03:44:51 INFO  WebController:22 - q1 created
2022-05-04 03:44:51 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 03:46:12 INFO  WebController:19 - MB requests to create q2
2022-05-04 03:46:12 INFO  WebController:22 - q2 created
2022-05-04 03:46:12 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 03:46:12 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 03:46:32 INFO  WebController:19 - DG requests to create q2
2022-05-04 03:46:32 INFO  MessageQueueController:23 - q2 already exists
2022-05-04 03:46:32 INFO  WebController:22 - q2 created
2022-05-04 03:46:32 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 03:46:32 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 03:46:46 INFO  WebController:19 - DG requests to create q3
2022-05-04 03:46:46 INFO  WebController:22 - q3 created
2022-05-04 03:46:46 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 03:46:46 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 03:46:46 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='DG'}, name='q3'}
2022-05-04 03:47:17 INFO  WebController:19 - GB requests to create q1
2022-05-04 03:47:17 INFO  MessageQueueController:23 - q1 already exists
2022-05-04 03:47:17 INFO  WebController:22 - q1 created
2022-05-04 03:47:17 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 03:47:17 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 03:47:17 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='DG'}, name='q3'}
2022-05-04 04:04:42 INFO  WebController:36 - All queues - 
2022-05-04 04:04:48 INFO  WebController:22 - GB requests to create q1
2022-05-04 04:04:48 INFO  MessageQueueController:28 - q1 created
2022-05-04 04:04:48 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 04:04:51 INFO  WebController:22 - MB requests to create q2
2022-05-04 04:04:51 INFO  MessageQueueController:28 - q2 created
2022-05-04 04:04:51 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 04:04:51 INFO  QueueAdapter:26 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 04:04:54 INFO  WebController:36 - All queues - 
2022-05-04 04:56:40 INFO  WebController:37 - All queues - 
2022-05-04 04:56:45 INFO  WebController:23 - GB requests to create q1
2022-05-04 04:56:45 INFO  MessageQueueController:36 - q1 created
2022-05-04 04:56:45 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 04:56:48 INFO  WebController:37 - All queues - 
2022-05-04 04:56:50 INFO  WebController:23 - MB requests to create q2
2022-05-04 04:56:50 INFO  MessageQueueController:36 - q2 created
2022-05-04 04:56:50 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 04:56:50 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 04:56:54 INFO  WebController:37 - All queues - 
2022-05-04 04:56:57 INFO  WebController:23 - DG requests to create q3
2022-05-04 04:56:57 INFO  MessageQueueController:36 - q3 created
2022-05-04 04:56:57 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 04:56:57 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 04:56:57 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='DG'}, name='q3'}
2022-05-04 04:57:00 INFO  WebController:37 - All queues - 
2022-05-04 04:58:15 INFO  WebController:37 - All queues - 
2022-05-04 19:40:58 INFO  WebController:23 - GB requests to create q1
2022-05-04 19:40:58 INFO  MessageQueueController:36 - q1 created
2022-05-04 19:40:58 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 19:41:03 INFO  WebController:23 - MB requests to create q2
2022-05-04 19:41:03 INFO  MessageQueueController:36 - q2 created
2022-05-04 19:41:03 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 19:41:03 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 20:00:52 INFO  WebController:23 - GB requests to create q1
2022-05-04 20:00:52 INFO  MessageQueueController:38 - q1 created
2022-05-04 20:00:52 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:00:57 INFO  WebController:23 - MB requests to create q2
2022-05-04 20:00:57 INFO  MessageQueueController:38 - q2 created
2022-05-04 20:00:57 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:00:57 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 20:01:02 INFO  WebController:37 - All queues - 
2022-05-04 20:01:51 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:01:51 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='MB'}, name='q2'}
2022-05-04 20:05:02 INFO  WebController:23 - GB requests to create q1
2022-05-04 20:05:02 INFO  MessageQueueController:38 - q1 created
2022-05-04 20:05:02 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:35 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:37 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:38 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k2', body='hi2'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:39 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:40 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:40 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:42 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k3', body='hi3'}], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:05:43 INFO  QueueAdapter:27 - MessageQueue{allMessage=[], owner=Owner{ownerName='GB'}, name='q1'}
2022-05-04 20:06:34 INFO  QueueAdapter:27 - MessageQueue{allMessage=[Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}, Message{key='k4', body='hi4'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k1', body='hi1'}, Message{key='k1', body='hi1'}, Message{key='k2', body='hi2'}, Message{key='k3', body='hi3'}, Message{key='k4', body='hi4'}, Message{key='k5', body='hi5'}], owner=Owner{ownerName='GB'}, name='q1'}
